ERROR-SYMBOL AND VN-PAIR ANALYSIS AT 14.0 dB
===========================================================================

SIMULATION INFORMATION
---------------------------------------------------------------------------
Eb/N0                     : 14.0 dB
Total generated frames    : 219156
Total failed frames       : 200
Observed frame error rate : 9.125919e-04

1. ERROR SYMBOLS IN EVERY FAILED FRAME
---------------------------------------------------------------------------
     Frame   VN index     True symbol  Decoded symbol
Failed-frame count    : 1

  VN 8         VN 13         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      4 -> 5        4 -> 1           1      100.00%

VN pair (10,19)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 10         VN 19         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      2 -> 1        6 -> 5           1      100.00%

VN pair (11,27)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 11         VN 27         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      1 -> 0        0 -> 2           1      100.00%

VN pair (17,20)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 17         VN 20         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      0 -> 5        1 -> 3           1      100.00%

VN pair (17,32)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 17         VN 32         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      0 -> 5        1 -> 5           1      100.00%

VN pair (19,28)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 19         VN 28         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      6 -> 5        5 -> 4           1      100.00%

VN pair (20,32)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 20         VN 32         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      1 -> 3        1 -> 5           1      100.00%

VN pair (22,23)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 22         VN 23         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      4 -> 2        1 -> 6           1      100.00%

VN pair (23,41)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 23         VN 41         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      1 -> 6        1 -> 5           1      100.00%

VN pair (23,44)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 23         VN 44         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      1 -> 6        3 -> 7           1      100.00%

VN pair (27,31)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 27         VN 31         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      0 -> 4        7 -> 5           1      100.00%

VN pair (27,40)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 27         VN 40         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      0 -> 4        7 -> 3           1      100.00%

VN pair (31,40)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 31         VN 40         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      7 -> 5        7 -> 3           1      100.00%

VN pair (36,43)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 36         VN 43         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      2 -> 7        7 -> 0           1      100.00%

VN pair (37,41)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 37         VN 41         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      0 -> 4        1 -> 5           1      100.00%

VN pair (37,44)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 37         VN 44         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      0 -> 4        3 -> 7           1      100.00%

VN pair (41,44)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 41         VN 44         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      1 -> 5        3 -> 7           1      100.00%


4. DOMINANT VN PAIR
---------------------------------------------------------------------------
Most frequently observed VN pair : (26,31)
Number of pair occurrences       : 115
Number of failed frames          : 115 of 200
Fraction of failed frames         : 57.50%
