DOMINANT VN-PAIR CN-STATUS REPORT
Eb/N0 = 14.0 dB
============================================================

Dominant pair: (v_26, v_31)
Connected CNs: [9 22]
Number of failed frames: 115

Frame-by-frame CN status:
------------------------------------------------------------
Frame 3246: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 5510: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 6621: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 6659: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 14185: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 23123: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 25347: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 28925: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 30936: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 37726: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 41357: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 44080: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 47465: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 50122: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 51549: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 53238: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 56446: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 56548: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 57777: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 60428: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 61789: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 63073: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 66035: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 67570: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 69369: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 75686: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 79060: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 84937: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 91137: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 92078: CN 3 = satisfied, CN 21 = UNSATISFIED
